"yd","Ez_NPP_cbbp","Ez_NPP_cmod","Ez_NPP_cvar","14C","Cruise"
289,397.547649901416,483.884981127025,412.706993495896,158.9,"AMT22"
290,264.290583247358,246.589520730868,226.28144803959,146.4,"AMT22"
291,270.529513487766,303.066754069701,200.098342832702,186.3,"AMT22"
292,260.066370997239,301.046151961427,162.670426327293,92.2,"AMT22"
293,240.528982418033,335.374798662813,134.92429372934,143.1,"AMT22"
294,271.091335010658,308.23275228961,156.945266065126,107.7,"AMT22"
295,355.702761749665,408.321364452327,242.396723052764,138.8,"AMT22"
296,339.464960077569,446.522709338544,219.174062303956,310.5,"AMT22"
297,416.54286170443,478.55941007412,312.059955006363,225.6,"AMT22"
298,340.213103502255,458.104269045642,198.250734032956,280.1,"AMT22"
299,369.164598858991,610.794899669348,294.656759474552,338.8,"AMT22"
300,415.708410627183,535.945154138714,430.519289441813,403.4,"AMT22"
301,415.242488874996,622.37691977774,495.979159040038,640.1,"AMT22"
302,596.029715270523,983.528425681033,637.748103862235,509.6,"AMT22"
303,573.196525356433,846.195818104482,580.555844651395,533.6,"AMT22"
304,531.481430663089,971.245154100899,482.712780617662,629.8,"AMT22"
305,413.829041397617,331.811618450991,496.580635657026,631.3,"AMT22"
306,412.532261083879,561.990403578918,367.504292073934,431.3,"AMT22"
307,361.418303195212,501.860411693485,307.779842026402,229.8,"AMT22"
308,376.073796181137,405.213274772689,261.661680735357,225.5,"AMT22"
309,270.221972316065,333.13768145568,136.263441211416,301.9,"AMT22"
310,280.950176652439,323.502587745474,133.618348140666,157.7,"AMT22"
311,356.627820145404,385.304243373774,138.685703452146,132.9,"AMT22"
312,432.700982380936,380.496498266197,233.091598356945,NA,"AMT22"
313,402.544792350367,308.404894157851,175.572798727649,181.7,"AMT22"
314,440.257533587693,360.032167763923,229.951131992997,166.5,"AMT22"
315,397.193733505363,557.993054921698,233.613406721653,223.8,"AMT22"
316,417.107134636902,555.514722622555,256.596345765445,229.7,"AMT22"
317,417.569353195269,709.88047223933,287.321010945701,267.5,"AMT22"
318,553.147477894923,837.331799687784,556.770638747703,NA,"AMT22"
319,772.556085651691,816.369046950721,748.017813564834,307.7,"AMT22"
320,1328.43279175732,1170.66750660413,1241.27857686661,1663.8,"AMT22"
321,1455.22954984554,1288.46850104956,1225.46418048687,1518.6,"AMT22"
322,942.197942032276,1662.23612809177,669.988286300378,903.9,"AMT22"
323,829.108808806797,1521.76007409855,1007.62768719165,1135.5,"AMT22"
324,1165.02951906589,1759.49344420434,1383.30067241473,783.7,"AMT22"
325,714.227267439827,500.129061726152,722.671299301085,947.7,"AMT22"
