"yd","Ez_NPP_cbbp","Ez_NPP_cmod","Ez_NPP_cvar","14C","Cruise"
223,959.694553309331,1599.5084907691,1387.44362596587,NA,"EXP1"
224,529.205040700138,568.215653733422,310.401625513641,NA,"EXP1"
225,480.040983831356,364.585508039853,269.626205930409,NA,"EXP1"
226,455.134100998769,262.918497525127,224.125857212648,NA,"EXP1"
227,433.458987397992,196.388421780007,279.09987693481,NA,"EXP1"
228,419.774834318306,341.229455319618,256.251547522017,179.6072926,"EXP1"
229,422.003778347756,235.119447783862,338.467358847175,NA,"EXP1"
230,431.031520437425,358.269956771194,231.747683093151,NA,"EXP1"
231,403.546574553701,229.337534697458,274.520914460855,NA,"EXP1"
232,338.908621677332,217.00426720055,152.300289766038,158.4727756,"EXP1"
233,284.685929359591,219.447667379902,121.643381302495,NA,"EXP1"
234,246.122778032127,193.008864990217,83.5242840025788,140.0366,"EXP1"
235,291.437696995528,254.070465003457,233.856107171644,NA,"EXP1"
236,268.721526364696,238.246889229627,104.200346647573,132.5904,"EXP1"
237,282.115855891544,262.163001639771,94.8567972231809,NA,"EXP1"
238,308.602651599783,262.212867710125,106.694173121783,172.944,"EXP1"
239,392.727839013707,351.586269614121,138.376640860673,NA,"EXP1"
240,413.18326453322,246.339139898209,153.257038961025,199.6780593,"EXP1"
241,414.80468254053,303.537312438236,185.752007938309,NA,"EXP1"
242,407.848700034284,213.305056884588,185.198545468393,167.1792,"EXP1"
243,441.542198047166,344.251624933055,200.224089457486,NA,"EXP1"
244,415.187136861312,227.616876626719,290.304542437604,139.9165,"EXP1"
245,388.359718594671,202.081855921071,165.74432679562,NA,"EXP1"
246,424.557021806555,163.565946955249,207.924722176657,172.3435,"EXP1"
247,327.523530963085,101.055225767533,112.439172401429,NA,"EXP1"
248,399.352524765612,238.721811895055,160.13453107522,NA,"EXP1"
249,376.231868458018,153.95966477708,162.217971588218,NA,"EXP1"
250,401.732945381457,172.010471945898,159.453168389696,194.9223,"EXP1"
251,360.281547477887,258.766805453695,184.481431938323,NA,"EXP1"
252,454.425976962714,307.78768687715,368.033001600091,NA,"EXP1"
253,572.78238701819,347.434319949613,443.456245536036,NA,"EXP1"
254,748.97275086695,594.000162812973,696.836465749132,NA,"EXP1"
