"yd","Ez_NPP_cbbp","Ez_NPP_cmod","Ez_NPP_cvar","14C","Cruise"
85,980.969984857886,1459.68183821114,871.273064327158,NA,"NAAMES4"
86,732.294863592612,783.213989860463,836.70912995205,1265.68,"NAAMES4"
87,1048.91490650843,1558.82754588776,1487.40729485781,1844.425,"NAAMES4"
88,613.821967598859,785.094973449211,803.985283198292,NA,"NAAMES4"
89,479.73434799965,592.519358160007,622.154466016696,695.9,"NAAMES4"
90,618.795456572659,1009.80956162477,664.623320082984,NA,"NAAMES4"
91,555.26199949601,830.33314665214,536.615917517486,768.7225,"NAAMES4"
93,773.558765519685,1225.88656805442,624.671889477035,1284.97,"NAAMES4"
95,800.157198175292,1187.16629767411,924.628749858895,756.3,"NAAMES4"
137,1046.3017951544,1879.11956955749,1105.45933382683,NA,"NAAMES2"
138,1112.69751721227,1872.51387829461,1202.83150520476,NA,"NAAMES2"
139,1067.44879367316,1169.51512416555,1173.82276880834,776.655125,"NAAMES2"
140,1188.88548992505,2403.70210955814,1326.97067164462,NA,"NAAMES2"
141,1444.95697989537,1858.18927312388,1647.50997309185,1036.813625,"NAAMES2"
142,1733.61678283383,2365.71304417187,2003.37078069512,NA,"NAAMES2"
143,1045.96608777097,2143.89374120347,1316.92154989728,1583.821875,"NAAMES2"
144,796.725125845523,1724.34865921289,1243.1002310938,NA,"NAAMES2"
145,705.336848013518,1231.88480249027,1003.26505218467,1448.147625,"NAAMES2"
146,637.538524573013,1003.09538572813,880.443709421305,1115.703,"NAAMES2"
147,549.448552401971,1559.10055594803,850.218878808428,1923.743,"NAAMES2"
148,582.516857703159,1062.92938205098,734.557994857313,1945.345,"NAAMES2"
149,1894.13995413353,1274.90539822002,1297.89194949588,NA,"NAAMES2"
150,1627.39298840616,1054.81034337835,1073.62302653354,NA,"NAAMES2"
151,1902.79685254467,1257.47020776755,1170.62895950599,NA,"NAAMES2"
152,1929.41005849394,1346.78480807164,1235.18492737073,NA,"NAAMES2"
245,553.844529997678,745.414486112166,287.250458984127,NA,"NAAMES3"
246,803.365569629532,878.804066040581,524.388214635042,259.2499375,"NAAMES3"
248,517.971910160762,684.653341105119,463.224928086694,430.59175,"NAAMES3"
249,587.298818690661,740.60241949304,689.711566201668,NA,"NAAMES3"
250,463.895386615898,491.552915557302,293.416791491411,NA,"NAAMES3"
251,584.725943407942,669.93645108232,459.24186725141,NA,"NAAMES3"
252,1101.48247459819,851.026592762112,876.771929268145,NA,"NAAMES3"
253,895.472765830493,556.974381880368,343.146678957351,310.9531875,"NAAMES3"
254,796.248613840571,364.324534462346,405.341383453476,647.1046875,"NAAMES3"
255,1350.81696629312,1080.52763913082,757.794374905649,NA,"NAAMES3"
256,973.328629290243,715.60106651107,768.873678856218,467.7615,"NAAMES3"
257,937.494330460133,636.304877989439,693.922823098954,433.9910625,"NAAMES3"
258,998.069438480535,740.100072244304,745.45773954499,753.95425,"NAAMES3"
259,1126.5757509012,977.043923573243,826.050574760674,726.629625,"NAAMES3"
260,1105.16901346014,970.857217126122,830.556101546921,NA,"NAAMES3"
315,403.388018504446,346.258299796118,472.394002903611,NA,"NAAMES1"
316,153.526066227257,106.81051403146,128.694545195238,NA,"NAAMES1"
317,581.771646757343,264.66677501907,403.637516359808,NA,"NAAMES1"
318,686.660752851364,207.839742424208,323.213873970501,NA,"NAAMES1"
319,286.280785958306,256.601082544563,326.49821699152,NA,"NAAMES1"
320,62.7309805302012,61.3573661258269,84.6614064312345,65.262875,"NAAMES1"
321,340.247728690128,291.022289979754,339.572229015493,NA,"NAAMES1"
322,243.949372279451,244.168972885691,217.717678831336,112.4815,"NAAMES1"
323,74.6033779002606,111.814851742383,60.8253849733894,NA,"NAAMES1"
324,123.574021973441,201.01545915815,147.464776223631,112.4815,"NAAMES1"
325,164.669635517731,217.622626954407,212.222752307724,313.383,"NAAMES1"
326,139.207811787813,230.957525626596,195.239871484172,NA,"NAAMES1"
327,237.12131541269,361.112172266436,398.528501154571,426.6375,"NAAMES1"
328,200.302997156801,289.556751545123,324.054018257752,211.00275,"NAAMES1"
329,322.990093546193,581.517667964205,616.831660922141,459.96975,"NAAMES1"
